bidprice,clicks,CTR,cost,avg CPM,eCPC
268,52,0.06348663728374865,6250.054000000904,76.3067137119038,120.19334615386354
269,52,0.06353473028285174,6250.043000000905,76.36438389640057,120.19313461540202
270,52,0.06358989409836868,6250.047000000905,76.430735930747,120.19321153847895
271,52,0.0636591785517537,6250.116000000906,76.51485584869812,120.19453846155588
272,52,0.06370675291580907,6250.0040000009,76.57066549055303,120.19238461540193
273,52,0.06373330064958942,6250.042000000903,76.6030395881959,120.19311538463275
274,52,0.0638060296698038,6250.045000000906,76.6904916745513,120.1931730769405
275,52,0.06384833564578908,6250.004000000901,76.7408371499196,120.19238461540195
276,52,0.06390090444357058,6250.0460000009,76.80453696422656,120.19319230770961
277,52,0.06393940511761162,6250.019000000897,76.85048016035138,120.19267307694032
278,52,0.06399684938587638,6250.0070000009,76.91937627687129,120.19244230770961
279,52,0.06402758111186357,6250.030000000904,76.9565966878151,120.192884615402
280,52,0.0641223256674271,6250.106000000899,77.07141007461495,120.19434615386345
281,51,0.06324483190515755,6250.012000000874,77.50607026377898,122.54925490197792
282,51,0.0632817153067302,6250.0540000008805,77.55179174112666,122.5500784313898
283,51,0.06332964945176392,6250.062000000881,77.61063441408751,122.55023529413492
284,51,0.06336584456731068,6250.05600000088,77.6549170653026,122.55011764707608
285,51,0.06340286929063378,6250.0320000008705,77.69999254084973,122.5496470588406
286,51,0.0634659896961099,6250.018000000877,77.77717215461905,122.5493725490368
